id,case_id,area,tracer,AP,ML,DV,memo
CJ112-FR,CJ112,A6Va,FR,12.15,8.00,11.80,"FR injection in area 6aV, published as case 3 in Burman et al. 2015 (J Comp Neurol 523:1222–1247)). CARET reconstruction shown in Figure 10B of this paper."
CJ801-CTBgr,CJ801,A6DR,CTBgr,14.00,5.00,13.50,"The CTB-green injection was centred in the most rostral part of area 6DR, but there was likely invasion of adjacent area 8aD. This injection extended into the subjacent white matter."
CJ146L-FR,CJ146L,A23a,FR,1.50,1.30,14.00,The FR injection was located in the infragranular layers of  the midline cortex. It was centred in area 23a but probably included portions of adjacent areas. Plots of this injection are only available for sections every 800 µm.
CJ116-FR,CJ116,A6DR,FR,4.80,9.60,11.40,The FR injection was published as case 1 in the paper by Burman et al. 2014 (J Comp Neurol 522:3683–3716).
CJ116-FE,CJ116,A6Va,FE,0.00,10.70,4.60,The FE injection was published as case 2 in the paper by Burman et al. 2015 (J Comp Neurol 523:1222–1247).
CJ178-CTBr,CJ178,A10,CTBr,18.20,2.20,12.80,The CTB-red injection was located in the most caudal part of area 10 (frontopolar cortex).
CJ178-CTBgr,CJ178,A10,CTBgr,18.20,3.30,12.50,"The CTB-green injection was located in the most caudal part of area 10 (frontopolar cortex). It may have invaded area 46 to a slight extent, particularly in the infragranular layers (e.g. section r4a)."
CJ102X-DY,CJ102X,A3b,DY,11.00,8.90,11.70,This animal had a single effective injection (DY) in the representation of the face/ oral structures of primary somatosensory cortex. The injection site most likely crossed  from area 3b to area 1/2.
CJ148R-DY,CJ148R,A32V,DY,16.00,0.60,10.00,The DY injection was very restricted and left no tracer leakage up the track. It was well centred in area 32V (also known as area 10mc; e.g. as in Burman and Rosa 2009; J Comp Neurol 514:11–29).
CJ51-DY,CJ51,MST,DY,1.60,8.70,14.00,DY injection centred  on the dorsal part of area MST. Label included peripheral representations of most visual areas.
CJ115-FE,CJ115,A6DC,FE,12.00,3.30,15.60,The FE injection was located in the dorsal part of area 6DC. A computerised reconstruction with expert assessment of histological boundaries was published as case 8 in Burman et al. (2014; J Comp Neurol 522:3683–3716).
CJ115-FR,CJ115,A4c,FR,11.60,7.12,12.80,The FR injection was placed in the head representation of  primary motor cortex (cytoarchitectural area 4c). A computerised reconstruction incorporating expert-assessed area borders was published as case 9 in the study by Burman et al. 2014 (J Comp Neurol 522: 811–843).
CJ170-DY,CJ170,A6M,DY,12.55,0.70,15.80,The DY injection was restricted to the medial premotor cortex (area 6M).
CJ170-CTBr,CJ170,A3b,CTBr,7.40,5.90,15.20,The CTB-red injection in this case was restricted to the primary somatosensory cortex (area 3b) in the forelimb representation.
CJ170-FB,CJ170,A3a,FB,7.50,2.60,16.80,The FB injection was small and restricted to somatosensory area 3a.
CJ170-CTBgr,CJ170,S2E,CTBgr,6.00,7.70,13.10,"The CTB-green injection was centred in the second somatosensory area (S2), bit appears to have extended to adjacent posterior parietal area PF"
CJ163-FB,CJ163,A6M,FB,12.40,1.60,15.30,"FB injection in area 6M, with the halo slightly invading areas 24c/d."
CJ113-FE,CJ113,A6M,FE,12.50,0.85,15.90,FE injection in area 6M (supplementary motor).
CJ113-FR,CJ113,A4ab,FR,9.40,1.20,16.90,FR injection in the medial part of area 4 (primary motor). CARET reconstruction illustrated in Figure 10A of Burman et al. 2014 (J Comp Neurol 522:811–843).
CJ125X-FR,CJ125X,A8aV,FR,14.50,6.48,12.56,FR injection in area 8aV (frontal eye field).
CJ125X-FE,CJ125X,A6DR,FE,13.50,4.04,15.00,FE injection in area 6DR. CARET reconstruction illustrated in Figure 12B of Burman et al. 2014 (J Comp Neurol 522:3683–3716).
CJ36-FR,CJ36,V2,FR,-4.50,0.80,16.00,"FR injection in the peripheral representation of area V2, forming an elongated deposit parallel to the rostral border."
CJ36-FB,CJ36,V6(DM),FB,-3.10,3.60,16.00,FB injection in the caudal part of the dorsomedial area (DM). Manual reconstruction of this case was illustrated in Figure 8 of Rosa et al. 2009 (J Neurosci 29:4548–4563).
CJ90-DY,CJ90,V2,DY,-7.50,3.50,16.70,Small DY injection in the supragranular layers of V2 near V1 border.
CJ90-FR,CJ90,V2,FR,-7.50,2.60,16.10,FR injection in representation of near peripheral visual field. Involved all layers.
CJ75X-DY,CJ75X,A8aV,DY,14.80,7.40,12.50,"DY injection in the ventral part of cytoarchitectural area 8aV, with invasion of area 45. Extensive label in visual areas interpreted as indicating that it involved the central visual field (small saccade) part of the frontal eye field. This injection was illustrated in the paper by Reser et al. 2013 (Cereb Cortex 23: 1901-1922)"
CJ52X-DY,CJ52X,PEC,DY,1.10,3.00,17.00,"DY injection in superior parietal cortex. Registration to the Paxinos et al. (2012) atlas leads to assignment to cytoarchitectural area PEc. Note however label in peripheral representations of visual areas (MT, DM, V2, MST) and restricted distribution of label in frontal cortex (primarily in areas 8aV and 6DR). This pattern is inconsistent with the connections of PEc in the macaque. It may suggest that the areal boundaries may be incorrect in this region of the marmoset atlas."
CJ52X-FR,CJ52X,V6(DM),FR,-2.10,3.90,16.50,"FR injection at the rostral border of area DM, in the upper quadrant representation. Manual reconstruction of this case was illustrated in Figure 7 of Rosa et al. 2009 (J Neurosci 29:4548–4563)"
CJ52X-FE,CJ52X,V6(DM),FE,-2.80,2.30,17.00,FE injection restricted to the lower quadrant representation in area DM. Manual reconstruction of this case was illustrated in Figure 10 of Rosa et al. 2009 (J Neurosci 29:4548–4563).
CJ73X-FR,CJ73X,A10,FR,18.50,1.00,11.00,FR injection along the medial surface of the frontopolar cortex (area 10). Manual reconstruction illustrated in Figure 4 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).
CJ73X-FB,CJ73X,A47L(12L),FB,17.10,5.80,12.40,"Registration of the FB injection data to the Paxinos et al. (2012) atlas template indicates that it was located near the junction of areas 47L (12L), 8aV and 46V. This assessment is supported by the complex pattern of label that probably includes afferents to all 3 areas. Results from this injection were shown in Figures 9 and 10 of Burman et al. 2011 (Cereb Cortex 21:1712--1737) as being assigned to area 46; this pre-dates the more comprehensive analysis of the frontal lobe cytoarchitecture by Paxinos et al, (2012)."
CJ73X-DY,CJ73X,A8b,DY,16.20,0.60,14.30,DY injection in area 8b. Results from this injection were shown in Figures 9 and 10 of Burman et al. 2011 (Cereb Cortex 21:1712--1737). At that time the injection was estimated to be in area 9.
CJ73X-FE,CJ73X,A47L(12L),FE,15.90,8.00,10.60,"FE injection centred in area 47L (12L). The presence of label in extrastriate cortex suggests involvement of cytoarchitectural area 45, which in marmosets is part of the putative frontal eye field (Reser et al. 2013;  Cereb Cortex  23:1901–1922)."
CJ111-FE,CJ111,A6Va,FE,12.10,7.80,12.80,FE injection in area 6Va. This injection was published in Burman et al. 2014 (J Comp Neurol 522: 811-843) as an injection at the border between 6Va and the face representation in area 4 (4c). Subsequent reanalysis show that the injection was in fact entirely contained in cytoarchitectural area 6Va.
CJ111-FR,CJ111,A6DC,FR,11.00,3.90,14.80,"FR injection near the dorsal limit of area 6DC. This injection site consisted of 3 needle tracks with tracer deposited along each. This case was presented as case 10 in Burman et al. 2014 (J Comp Neurol. 522:3683–3716), with manual reconstruction of data appearing in Figures 13 and 14."
CJ163-DY,CJ163,A8b,DY,15.00,1.50,14.30,DY injection in area 8b.
CJ122-DY,CJ122,AuRT,DY,9.00,10.90,8.50,"DY injection centred in the rostrotemporal auditory area (AuRT), but with significant involvement of the anterolateral belt area (AuAL)."
CJ122-FR,CJ122,AuCPB,FR,7.10,10.70,7.80,"FR injection largely restricted to the caudal parabelt area (AuCPB), with possible minor involvement of anterolateral belt."
CJ122-FB,CJ122,TPO(STP),FB,5.60,10.70,8.50,"A large FB injection created by insertion of a crystal involved primarily polysensory temporal association areas (TPO, PGa/ IPa), with the centre being located in area TPO (superior temporal polysensory area). The rostral limit of the injection may have invaded the caudal part of the auditory parabelt."
CJ122-FE,CJ122,TPO(STP),FE,5.00,10.80,9.50,"The FE injection was centred in the caudal most part of area TPO, but is likely to have involved the border with visual areas MST and FST (note presence of label in the peripheral representations of extra striate areas e.g. V2, V3, V4)."
CJ70X-DY,CJ70X,A10,DY,19.70,1.10,11.70,DY injection at the apex of the frontal pole (area 10). Manual reconstruction of this case has been illustrated in Figure 7 of Burman et al. 2011 (Cereb Cortex 21:1712-1737).
CJ70X-FB,CJ70X,A9,FB,17.10,1.00,13.15,FB injection restricted to area 9 (caudal part).
CJ70X-FR,CJ70X,A8aD,FR,16.00,4.00,13.00,The FR injection was located in the rostral part of frontal area 8aD. This injection was part of the study published by Reser et al. 2013 (Cereb Cortex  23:1901–1922).
CJ167-CTBgr,CJ167,A24d,CTBgr,10.50,0.50,15.50,"An elongated injection of CTBgreen was placed along the midline, involving primarily area 24d but with invasion of adjacent area 24c and  possibly the most medial part of the primary motor cortex."
CJ167-FB,CJ167,A24d,FB,9.50,0.60,15.70,"The FB injection was very small, and restricted to a subdivision of the medial motor cortex (area 24d)"
CJ167-FR,CJ167,A24d,FR,8.60,0.70,16.20,"The FR injection was very restricted, and centred in area 24d. It may have extended into adjacent areas 23 and the medial part of the primary motor cortex, but this appears minimal."
CJ167-DY,CJ167,A23c,DY,7.50,0.60,16.75,"The DY injection was an elongated deposit of tracer along the midline, centred in area 23c, but invading the medial end of area 3a, and the most rostral part of area 23b."
CJ182-CTBr,CJ182,PGa/IPa(FSTv),CTBr,5.30,10.60,7.15,The CTB-red injection was restricted to cytoarchitectural fields IPa/PGa (also known as FSTv).
CJ182-CTBgr,CJ182,V4(VLA),CTBgr,-1.90,10.00,9.80,CTB-green injection was in the representation of the lower quadrant in area V4 (ventrolateral anterior area).
CJ182-DY,CJ182,V4(VLA),DY,-1.65,10.60,7.45,"The DY injection was well centred in the representation of central vision in area V4 (ventrolateral anterior area), mostly in the supragranular and granular layers"
CJ801-DY,CJ801,A46D,DY,17.20,2.70,13.00,"DY injection centred in area 46D (dorsal), involving all layers."
CJ801-FB,CJ801,A8C,FB,12.70,5.90,13.30,"The FB injection was well centred in area 8C, but was relatively large, so invasion of adjacent areas is likely. Labeled neurones were found in multiple subdivisions of visual and posterior parietal cortex as expected from a 8C injection."
